ds,y,fechamento,abertura,y_lag_1,fechamento_lag_1,max_lag_1,min_lag_1,amplitude_lag_1,delta_lag_1,variacao_lag_1,volatilidadeS_lag_1,volatilidadeM_lag_1,volatilidadeT_lag_1,volatilidadeSE_lag_1,volatilidadeA_lag_1,maS_lag_1,maM_lag_1,maT_lag_1,maSE_lag_1,maA_lag_1
2017-01-24,1,0.09100000000000819,1.2329999999999899,1.0,1.2279999999999944,1.1219999999999999,0.5489999999999995,0.5730000000000004,0.6599999999999895,0.010151077572914988,0.2280626923323109,0.025215423653403568,0.0027307740484319165,0.0031827709094375267,-0.0007860020908927456,0.3836000000000013,0.36827272727272486,0.02980303030302167,0.07778787878788762,0.08942424242424352
2017-01-26,1,0.3509999999999991,0.09000000000000341,1.0,0.09100000000000819,0.3569999999999993,1.1149999999999949,-0.7579999999999956,-1.1419999999999817,-0.01772578931406766,0.0060060170020797,-0.01767630706140344,-0.0007410300947570114,-1.1812265644506326e-06,-8.202810446089615e-05,0.2972000000000037,0.390227272727266,0.03536363636364115,0.07774242424241606,0.08871590909090799
2017-01-27,-1,-0.15699999999999648,0.35299999999999443,1.0,0.3509999999999991,0.42099999999999227,0.22700000000000387,0.1939999999999884,0.2609999999999957,0.003962205695303744,-0.06879644503823412,-0.003203578221103176,3.047874957018415e-05,-0.0028988349286611648,-0.0010229979462018646,0.4082000000000079,0.3751818181818223,0.035651515151506885,0.07353787878788154,0.09249242424242965
2017-01-30,-1,-1.7319999999999993,-0.1699999999999875,-1.0,-0.15699999999999648,-0.35199999999998965,0.034000000000006025,-0.3859999999999957,-0.5099999999999909,-0.007732775897172612,-0.009066027216606765,0.0056094572445635205,-0.0001746795105446175,0.0001567587910681345,-0.0029062462624174223,0.4165999999999883,0.3369999999999891,0.029181818181825747,0.07072727272726809,0.09598106060605716
2017-01-31,1,0.3689999999999998,-1.7150000000000034,-1.0,-1.7319999999999993,-0.21699999999999875,-1.7109999999999985,1.4939999999999998,-1.5620000000000118,-0.023663967820341206,0.5437863560167441,0.12927282558098485,0.024082058344288115,0.014528972321306899,0.007250458673529692,-0.0438000000000045,0.25477272727274425,0.003666666666667595,0.05851515151514519,0.08973484848485214
2017-02-01,1,0.16499999999999204,0.37699999999999534,1.0,0.3689999999999998,-1.1240000000000094,0.11899999999999977,-1.2430000000000092,2.084000000000003,0.031709610615610215,-0.20689060218362543,-0.021619022299147916,0.0006870673780151604,0.00041898591548383823,-0.001091588248260833,-0.2155999999999949,0.22222727272726672,0.012196969696972815,0.060833333333341955,0.09364015151514593
2017-02-02,-1,-0.25799999999999557,0.14799999999999613,1.0,0.16499999999999204,0.6929999999999978,0.4029999999999916,0.29000000000000625,-0.2120000000000033,-0.0033100354780183265,0.005766900736041136,-0.001520738531961996,0.00013406942205074213,-0.00038062626712664915,-0.0006264077791736655,-0.20080000000000098,0.20950000000000557,0.015303030303030596,0.05934848484848487,0.09591666666666754
2017-02-03,1,0.37599999999999056,-0.2560000000000002,-1.0,-0.25799999999999557,-0.4619999999999891,-0.5240000000000009,0.06200000000001182,-0.4059999999999917,-0.006267307829383565,-0.05576132923311039,-0.015530897082712047,-0.0008129730359401899,0.0002851776912560222,-0.0007183062944183805,-0.32260000000000844,0.22677272727273134,0.004969696969695292,0.05837121212120877,0.09709848484849459
2017-02-06,-1,-0.9609999999999914,0.3780000000000001,1.0,0.37599999999999056,0.25499999999999545,0.10099999999999909,0.15399999999999636,0.6319999999999908,0.009770749616036009,0.05993557636958147,-0.13529297802987894,0.0010624911244355717,0.0003531148091033831,-0.0002973701640713866,-0.21599999999999397,0.1427272727272637,0.00978787878787557,0.06190151515151854,0.09641666666666282
2017-02-07,1,0.20599999999999596,-0.9349999999999881,-1.0,-0.9609999999999914,-0.060000000000002274,-0.33099999999999596,0.2709999999999937,-1.3389999999999915,-0.02064742808298025,-0.3160884253030799,0.03899412703762606,0.004241241772307003,0.004732665466940511,0.00018000449844790545,-0.061800000000005184,0.10927272727273163,-0.014121212121210647,0.05409090909090253,0.09630303030302656
